style,intensity,topic,caption
genz,0.87,presentations,presentations is literally my villain origin story
corporate,0.71,job applications,Leveraging job applications for improved outcomes.
wholesome,0.64,salary negotiations,One step at a time with salary negotiations. You’ve got this.
corporate,0.34,side hustles,Optimizing bandwidth to address side hustles.
wholesome,0.51,startups,"No matter what, startups doesn’t define your worth."
corporate,0.71,group projects,Aligning stakeholders around group projects.
wholesome,0.97,work-life balance,"work-life balance is hard, but you’re doing your best."
sarcastic,0.33,performance reviews,"Oh sure, because performance reviews always works perfectly."
dark,0.41,long commutes,long commutes is just a reminder that time is winning.
corporate,0.54,startups,Driving synergies to resolve startups.
genz,0.54,waking up early,waking up early?? nah bestie
wholesome,0.64,interviews,You’re stronger than interviews.
wholesome,0.65,group projects,One step at a time with group projects. You’ve got this.
dark,0.69,job applications,"Another day, another round of job applications."
sarcastic,0.52,emails,"emails? Yeah, what could possibly go wrong."
wholesome,0.39,exams,You’re stronger than exams.
genz,0.74,emails,emails?? nah bestie
sarcastic,0.75,exams,"Oh sure, because exams always works perfectly."
sarcastic,0.38,deadlines,"Oh sure, because deadlines always works perfectly."
wholesome,0.91,group projects,"No matter what, group projects doesn’t define your worth."
sarcastic,0.9,meetings,Nothing screams success like meetings.
corporate,0.6,exams,Optimizing bandwidth to address exams.
dark,0.79,interviews,"Another day, another round of interviews."
wholesome,0.75,interviews,"No matter what, interviews doesn’t define your worth."
dark,0.74,meetings,"Another day, another round of meetings."
corporate,0.89,burnout,Optimizing bandwidth to address burnout.
wholesome,0.77,salary negotiations,One step at a time with salary negotiations. You’ve got this.
corporate,0.93,college life,Driving synergies to resolve college life.
genz,0.74,salary negotiations,me dealing with salary negotiations: absolutely not.
sarcastic,0.5,office politics,"office politics? Yeah, what could possibly go wrong."
dark,0.34,interviews,"Eventually, interviews gets us all."
wholesome,0.75,burnout,You’re stronger than burnout.
sarcastic,0.35,startups,I love how startups ruins everything.
genz,0.54,interviews,me dealing with interviews: absolutely not.
wholesome,0.93,performance reviews,One step at a time with performance reviews. You’ve got this.
genz,0.9,deadlines,deadlines?? nah bestie
sarcastic,0.47,waking up early,I love how waking up early ruins everything.
sarcastic,0.44,performance reviews,Nothing screams success like performance reviews.
genz,0.65,exams,exams is literally my villain origin story
dark,0.36,work-life balance,"Another day, another round of work-life balance."
genz,0.95,burnout,burnout is literally my villain origin story
dark,0.39,college life,college life is just a reminder that time is winning.
sarcastic,0.81,procrastination,"Oh sure, because procrastination always works perfectly."
sarcastic,0.99,side hustles,I love how side hustles ruins everything.
dark,0.6,deadlines,"Another day, another round of deadlines."
wholesome,0.91,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
wholesome,0.55,deadlines,One step at a time with deadlines. You’ve got this.
dark,0.64,deadlines,"Eventually, deadlines gets us all."
sarcastic,0.89,meetings,I love how meetings ruins everything.
genz,0.76,monday mornings,me dealing with monday mornings: absolutely not.
corporate,0.95,waking up early,Driving synergies to resolve waking up early.
dark,0.55,presentations,"Another day, another round of presentations."
corporate,0.33,burnout,Leveraging burnout for improved outcomes.
dark,0.37,presentations,"Eventually, presentations gets us all."
wholesome,0.64,burnout,One step at a time with burnout. You’ve got this.
corporate,0.71,side hustles,Leveraging side hustles for improved outcomes.
dark,0.49,interviews,interviews is just a reminder that time is winning.
corporate,0.86,presentations,Leveraging presentations for improved outcomes.
genz,0.49,office politics,office politics is literally my villain origin story
sarcastic,0.53,monday mornings,"Oh sure, because monday mornings always works perfectly."
sarcastic,0.35,waking up early,"Oh sure, because waking up early always works perfectly."
corporate,0.3,presentations,Optimizing bandwidth to address presentations.
sarcastic,0.94,presentations,I love how presentations ruins everything.
genz,0.68,meetings,meetings?? nah bestie
sarcastic,0.22,meetings,"Oh sure, because meetings always works perfectly."
sarcastic,0.72,procrastination,"Oh sure, because procrastination always works perfectly."
wholesome,0.28,group projects,One step at a time with group projects. You’ve got this.
corporate,0.72,college life,Leveraging college life for improved outcomes.
corporate,0.88,procrastination,Driving synergies to resolve procrastination.
sarcastic,0.28,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
corporate,0.43,office politics,Leveraging office politics for improved outcomes.
dark,0.68,salary negotiations,salary negotiations is just a reminder that time is winning.
sarcastic,0.43,performance reviews,"Oh sure, because performance reviews always works perfectly."
corporate,0.96,work-life balance,Aligning stakeholders around work-life balance.
dark,0.74,monday mornings,"Another day, another round of monday mornings."
sarcastic,0.55,group projects,"group projects? Yeah, what could possibly go wrong."
corporate,0.78,side hustles,Aligning stakeholders around side hustles.
corporate,0.69,emails,Driving synergies to resolve emails.
corporate,0.9,burnout,Optimizing bandwidth to address burnout.
dark,0.28,meetings,meetings is just a reminder that time is winning.
dark,0.41,long commutes,long commutes never forgets. Never forgives.
dark,0.43,work-life balance,"Eventually, work-life balance gets us all."
dark,0.21,burnout,burnout never forgets. Never forgives.
genz,0.44,meetings,meetings but make it emotionally exhausting.
sarcastic,0.28,performance reviews,I love how performance reviews ruins everything.
dark,0.85,salary negotiations,"Another day, another round of salary negotiations."
corporate,0.89,startups,Optimizing bandwidth to address startups.
corporate,0.55,job applications,Optimizing bandwidth to address job applications.
wholesome,0.31,college life,You’re stronger than college life.
wholesome,0.45,work-life balance,"work-life balance is hard, but you’re doing your best."
corporate,0.68,side hustles,Aligning stakeholders around side hustles.
sarcastic,0.38,monday mornings,Nothing screams success like monday mornings.
wholesome,0.89,monday mornings,One step at a time with monday mornings. You’ve got this.
dark,0.88,group projects,"Another day, another round of group projects."
sarcastic,0.75,presentations,Nothing screams success like presentations.
wholesome,0.68,startups,"No matter what, startups doesn’t define your worth."
genz,0.52,presentations,presentations?? nah bestie
sarcastic,0.56,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
corporate,0.4,burnout,Driving synergies to resolve burnout.
corporate,0.25,interviews,Leveraging interviews for improved outcomes.
sarcastic,0.8,monday mornings,I love how monday mornings ruins everything.
dark,0.62,presentations,"Another day, another round of presentations."
corporate,0.21,salary negotiations,Optimizing bandwidth to address salary negotiations.
corporate,0.54,meetings,Optimizing bandwidth to address meetings.
corporate,0.6,monday mornings,Optimizing bandwidth to address monday mornings.
dark,0.97,college life,"Another day, another round of college life."
dark,0.9,waking up early,waking up early never forgets. Never forgives.
sarcastic,0.97,group projects,"group projects? Yeah, what could possibly go wrong."
wholesome,0.81,waking up early,One step at a time with waking up early. You’ve got this.
sarcastic,0.57,burnout,"Oh sure, because burnout always works perfectly."
corporate,0.49,interviews,Leveraging interviews for improved outcomes.
wholesome,0.96,job applications,"No matter what, job applications doesn’t define your worth."
sarcastic,0.93,office politics,"Oh sure, because office politics always works perfectly."
corporate,0.65,side hustles,Leveraging side hustles for improved outcomes.
corporate,0.47,interviews,Driving synergies to resolve interviews.
sarcastic,0.93,meetings,Nothing screams success like meetings.
wholesome,0.67,performance reviews,You’re stronger than performance reviews.
dark,0.22,exams,"Eventually, exams gets us all."
wholesome,0.47,performance reviews,You’re stronger than performance reviews.
dark,0.6,side hustles,"Eventually, side hustles gets us all."
wholesome,0.27,group projects,One step at a time with group projects. You’ve got this.
corporate,0.23,salary negotiations,Optimizing bandwidth to address salary negotiations.
genz,0.89,office politics,office politics but make it emotionally exhausting.
corporate,0.7,job applications,Driving synergies to resolve job applications.
sarcastic,0.84,waking up early,"waking up early? Yeah, what could possibly go wrong."
dark,0.76,procrastination,"Another day, another round of procrastination."
corporate,0.76,performance reviews,Leveraging performance reviews for improved outcomes.
corporate,0.22,waking up early,Driving synergies to resolve waking up early.
wholesome,0.66,work-life balance,"No matter what, work-life balance doesn’t define your worth."
genz,0.67,group projects,me dealing with group projects: absolutely not.
dark,0.23,monday mornings,"Another day, another round of monday mornings."
sarcastic,0.6,meetings,"meetings? Yeah, what could possibly go wrong."
wholesome,0.21,meetings,"No matter what, meetings doesn’t define your worth."
corporate,0.77,procrastination,Optimizing bandwidth to address procrastination.
sarcastic,0.81,waking up early,"waking up early? Yeah, what could possibly go wrong."
wholesome,0.55,salary negotiations,"salary negotiations is hard, but you’re doing your best."
dark,0.39,deadlines,deadlines is just a reminder that time is winning.
wholesome,0.21,exams,One step at a time with exams. You’ve got this.
corporate,0.69,college life,Aligning stakeholders around college life.
dark,0.36,college life,college life is just a reminder that time is winning.
wholesome,0.44,salary negotiations,One step at a time with salary negotiations. You’ve got this.
dark,0.65,interviews,"Another day, another round of interviews."
wholesome,0.95,performance reviews,"performance reviews is hard, but you’re doing your best."
sarcastic,0.28,monday mornings,Nothing screams success like monday mornings.
corporate,0.77,job applications,Driving synergies to resolve job applications.
genz,0.98,long commutes,long commutes but make it emotionally exhausting.
dark,0.74,deadlines,deadlines is just a reminder that time is winning.
wholesome,0.52,performance reviews,You’re stronger than performance reviews.
corporate,0.29,burnout,Driving synergies to resolve burnout.
wholesome,0.37,startups,You’re stronger than startups.
corporate,0.4,side hustles,Driving synergies to resolve side hustles.
dark,0.71,startups,startups never forgets. Never forgives.
wholesome,0.26,office politics,One step at a time with office politics. You’ve got this.
genz,0.62,startups,me dealing with startups: absolutely not.
genz,0.48,burnout,burnout is literally my villain origin story
dark,0.92,presentations,presentations is just a reminder that time is winning.
corporate,0.86,burnout,Driving synergies to resolve burnout.
sarcastic,0.5,monday mornings,"monday mornings? Yeah, what could possibly go wrong."
corporate,0.8,procrastination,Driving synergies to resolve procrastination.
sarcastic,0.67,interviews,"interviews? Yeah, what could possibly go wrong."
dark,0.51,startups,"Eventually, startups gets us all."
sarcastic,0.74,office politics,I love how office politics ruins everything.
sarcastic,0.69,exams,"Oh sure, because exams always works perfectly."
dark,0.7,exams,"Another day, another round of exams."
dark,0.7,office politics,"Eventually, office politics gets us all."
sarcastic,0.47,long commutes,"Oh sure, because long commutes always works perfectly."
sarcastic,0.75,deadlines,I love how deadlines ruins everything.
wholesome,0.53,office politics,One step at a time with office politics. You’ve got this.
wholesome,0.54,presentations,You’re stronger than presentations.
sarcastic,0.59,performance reviews,I love how performance reviews ruins everything.
corporate,0.59,performance reviews,Aligning stakeholders around performance reviews.
sarcastic,0.92,performance reviews,I love how performance reviews ruins everything.
corporate,0.42,side hustles,Aligning stakeholders around side hustles.
genz,0.63,exams,exams is literally my villain origin story
sarcastic,0.59,monday mornings,"monday mornings? Yeah, what could possibly go wrong."
dark,0.61,side hustles,side hustles never forgets. Never forgives.
wholesome,0.7,group projects,You’re stronger than group projects.
dark,0.8,waking up early,"Another day, another round of waking up early."
genz,0.31,job applications,job applications is literally my villain origin story
wholesome,0.67,meetings,One step at a time with meetings. You’ve got this.
dark,0.61,job applications,"Another day, another round of job applications."
sarcastic,0.26,work-life balance,"work-life balance? Yeah, what could possibly go wrong."
genz,0.94,burnout,burnout but make it emotionally exhausting.
corporate,0.7,waking up early,Aligning stakeholders around waking up early.
corporate,0.91,procrastination,Optimizing bandwidth to address procrastination.
corporate,0.87,group projects,Optimizing bandwidth to address group projects.
corporate,0.63,waking up early,Optimizing bandwidth to address waking up early.
sarcastic,0.48,long commutes,I love how long commutes ruins everything.
wholesome,0.66,salary negotiations,You’re stronger than salary negotiations.
genz,0.77,side hustles,side hustles?? nah bestie
genz,0.49,startups,me dealing with startups: absolutely not.
corporate,0.73,interviews,Optimizing bandwidth to address interviews.
genz,0.78,side hustles,me dealing with side hustles: absolutely not.
genz,0.65,deadlines,me dealing with deadlines: absolutely not.
genz,0.7,presentations,me dealing with presentations: absolutely not.
genz,0.96,monday mornings,me dealing with monday mornings: absolutely not.
corporate,0.9,exams,Optimizing bandwidth to address exams.
corporate,0.8,deadlines,Aligning stakeholders around deadlines.
wholesome,0.42,deadlines,One step at a time with deadlines. You’ve got this.
corporate,0.98,side hustles,Optimizing bandwidth to address side hustles.
dark,0.49,presentations,"Another day, another round of presentations."
wholesome,0.45,job applications,You’re stronger than job applications.
dark,0.75,meetings,"Another day, another round of meetings."
genz,0.48,procrastination,procrastination?? nah bestie
sarcastic,0.85,startups,"startups? Yeah, what could possibly go wrong."
sarcastic,0.32,job applications,Nothing screams success like job applications.
corporate,0.69,exams,Optimizing bandwidth to address exams.
genz,0.71,emails,me dealing with emails: absolutely not.
dark,0.56,meetings,meetings is just a reminder that time is winning.
dark,0.59,emails,"Eventually, emails gets us all."
dark,0.33,burnout,burnout is just a reminder that time is winning.
dark,0.24,performance reviews,"Eventually, performance reviews gets us all."
wholesome,0.54,emails,One step at a time with emails. You’ve got this.
corporate,0.63,meetings,Leveraging meetings for improved outcomes.
dark,0.3,procrastination,"Eventually, procrastination gets us all."
wholesome,0.71,exams,One step at a time with exams. You’ve got this.
dark,0.37,burnout,"Eventually, burnout gets us all."
genz,0.88,job applications,me dealing with job applications: absolutely not.
dark,0.67,work-life balance,"Eventually, work-life balance gets us all."
genz,0.42,long commutes,me dealing with long commutes: absolutely not.
sarcastic,0.69,work-life balance,Nothing screams success like work-life balance.
dark,0.95,job applications,"Another day, another round of job applications."
corporate,0.57,long commutes,Leveraging long commutes for improved outcomes.
dark,0.9,startups,"Another day, another round of startups."
corporate,0.67,monday mornings,Optimizing bandwidth to address monday mornings.
corporate,0.43,college life,Optimizing bandwidth to address college life.
dark,0.41,office politics,office politics is just a reminder that time is winning.
wholesome,0.56,presentations,"presentations is hard, but you’re doing your best."
dark,0.95,work-life balance,work-life balance is just a reminder that time is winning.
genz,0.29,burnout,burnout?? nah bestie
dark,0.54,monday mornings,monday mornings is just a reminder that time is winning.
wholesome,0.86,deadlines,"No matter what, deadlines doesn’t define your worth."
sarcastic,0.45,meetings,I love how meetings ruins everything.
dark,0.4,performance reviews,performance reviews is just a reminder that time is winning.
sarcastic,0.99,job applications,"job applications? Yeah, what could possibly go wrong."
sarcastic,0.36,office politics,Nothing screams success like office politics.
sarcastic,0.83,college life,Nothing screams success like college life.
genz,0.25,salary negotiations,salary negotiations?? nah bestie
corporate,0.54,side hustles,Aligning stakeholders around side hustles.
genz,0.54,salary negotiations,salary negotiations is literally my villain origin story
corporate,0.29,performance reviews,Optimizing bandwidth to address performance reviews.
corporate,0.96,salary negotiations,Optimizing bandwidth to address salary negotiations.
genz,0.44,waking up early,waking up early but make it emotionally exhausting.
genz,0.82,meetings,meetings but make it emotionally exhausting.
sarcastic,0.98,performance reviews,"performance reviews? Yeah, what could possibly go wrong."
corporate,0.77,salary negotiations,Aligning stakeholders around salary negotiations.
dark,0.36,exams,exams never forgets. Never forgives.
wholesome,0.75,procrastination,One step at a time with procrastination. You’ve got this.
sarcastic,0.29,office politics,"Oh sure, because office politics always works perfectly."
corporate,0.38,group projects,Leveraging group projects for improved outcomes.
wholesome,0.72,office politics,You’re stronger than office politics.
dark,0.84,job applications,"Eventually, job applications gets us all."
sarcastic,0.77,burnout,I love how burnout ruins everything.
wholesome,0.54,exams,"No matter what, exams doesn’t define your worth."
sarcastic,0.22,procrastination,"procrastination? Yeah, what could possibly go wrong."
corporate,0.33,deadlines,Leveraging deadlines for improved outcomes.
dark,0.74,meetings,meetings never forgets. Never forgives.
dark,0.67,salary negotiations,salary negotiations never forgets. Never forgives.
sarcastic,0.73,work-life balance,"Oh sure, because work-life balance always works perfectly."
wholesome,0.56,emails,"No matter what, emails doesn’t define your worth."
sarcastic,0.62,deadlines,I love how deadlines ruins everything.
corporate,0.3,procrastination,Optimizing bandwidth to address procrastination.
dark,0.68,work-life balance,"Another day, another round of work-life balance."
genz,0.37,waking up early,waking up early?? nah bestie
corporate,0.72,college life,Aligning stakeholders around college life.
dark,0.89,long commutes,"Another day, another round of long commutes."
dark,0.66,waking up early,"Eventually, waking up early gets us all."
dark,0.73,procrastination,"Another day, another round of procrastination."
dark,0.64,startups,startups never forgets. Never forgives.
dark,0.27,group projects,group projects is just a reminder that time is winning.
sarcastic,0.48,college life,"college life? Yeah, what could possibly go wrong."
sarcastic,0.48,procrastination,Nothing screams success like procrastination.
corporate,0.59,waking up early,Leveraging waking up early for improved outcomes.
corporate,0.72,startups,Optimizing bandwidth to address startups.
genz,0.4,work-life balance,me dealing with work-life balance: absolutely not.
dark,0.53,procrastination,procrastination is just a reminder that time is winning.
genz,0.66,startups,me dealing with startups: absolutely not.
wholesome,0.31,startups,"startups is hard, but you’re doing your best."
corporate,0.53,work-life balance,Leveraging work-life balance for improved outcomes.
corporate,0.82,long commutes,Driving synergies to resolve long commutes.
dark,0.46,procrastination,procrastination is just a reminder that time is winning.
wholesome,0.48,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
dark,0.82,college life,college life is just a reminder that time is winning.
sarcastic,0.44,presentations,Nothing screams success like presentations.
genz,0.88,college life,college life is literally my villain origin story
sarcastic,0.28,job applications,"Oh sure, because job applications always works perfectly."
sarcastic,0.68,office politics,Nothing screams success like office politics.
sarcastic,0.58,emails,"Oh sure, because emails always works perfectly."
wholesome,0.32,group projects,"No matter what, group projects doesn’t define your worth."
genz,0.48,work-life balance,work-life balance but make it emotionally exhausting.
dark,0.57,interviews,interviews is just a reminder that time is winning.
dark,0.74,work-life balance,"Eventually, work-life balance gets us all."
genz,0.36,startups,startups but make it emotionally exhausting.
genz,0.35,performance reviews,performance reviews but make it emotionally exhausting.
genz,0.99,interviews,me dealing with interviews: absolutely not.
dark,0.25,waking up early,waking up early is just a reminder that time is winning.
wholesome,0.35,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
wholesome,0.54,monday mornings,You’re stronger than monday mornings.
genz,0.93,office politics,me dealing with office politics: absolutely not.
sarcastic,0.33,meetings,"Oh sure, because meetings always works perfectly."
wholesome,0.6,performance reviews,You’re stronger than performance reviews.
wholesome,0.27,presentations,You’re stronger than presentations.
wholesome,0.93,procrastination,You’re stronger than procrastination.
genz,0.78,procrastination,procrastination is literally my villain origin story
sarcastic,0.83,work-life balance,"Oh sure, because work-life balance always works perfectly."
corporate,0.65,work-life balance,Leveraging work-life balance for improved outcomes.
corporate,0.55,job applications,Aligning stakeholders around job applications.
wholesome,0.85,side hustles,"side hustles is hard, but you’re doing your best."
sarcastic,0.29,performance reviews,Nothing screams success like performance reviews.
corporate,0.39,deadlines,Aligning stakeholders around deadlines.
sarcastic,0.28,group projects,I love how group projects ruins everything.
dark,0.94,salary negotiations,salary negotiations is just a reminder that time is winning.
dark,0.6,salary negotiations,"Eventually, salary negotiations gets us all."
sarcastic,0.4,group projects,"Oh sure, because group projects always works perfectly."
corporate,0.47,office politics,Leveraging office politics for improved outcomes.
corporate,0.68,office politics,Aligning stakeholders around office politics.
dark,0.65,meetings,meetings is just a reminder that time is winning.
wholesome,0.73,long commutes,"long commutes is hard, but you’re doing your best."
sarcastic,0.77,job applications,I love how job applications ruins everything.
sarcastic,0.68,waking up early,"Oh sure, because waking up early always works perfectly."
genz,0.46,salary negotiations,salary negotiations is literally my villain origin story
genz,0.8,long commutes,long commutes is literally my villain origin story
corporate,0.93,exams,Leveraging exams for improved outcomes.
sarcastic,0.82,job applications,Nothing screams success like job applications.
dark,0.24,deadlines,deadlines is just a reminder that time is winning.
dark,0.32,job applications,job applications is just a reminder that time is winning.
dark,0.22,side hustles,side hustles never forgets. Never forgives.
wholesome,0.24,interviews,"interviews is hard, but you’re doing your best."
wholesome,0.82,college life,"No matter what, college life doesn’t define your worth."
sarcastic,0.41,work-life balance,I love how work-life balance ruins everything.
dark,0.95,monday mornings,"Another day, another round of monday mornings."
genz,0.44,performance reviews,me dealing with performance reviews: absolutely not.
wholesome,0.82,performance reviews,One step at a time with performance reviews. You’ve got this.
sarcastic,0.23,job applications,Nothing screams success like job applications.
corporate,0.62,monday mornings,Aligning stakeholders around monday mornings.
genz,0.21,side hustles,side hustles is literally my villain origin story
dark,0.6,interviews,"Eventually, interviews gets us all."
sarcastic,0.55,side hustles,"side hustles? Yeah, what could possibly go wrong."
genz,0.86,procrastination,procrastination?? nah bestie
corporate,0.42,performance reviews,Aligning stakeholders around performance reviews.
sarcastic,1.0,salary negotiations,I love how salary negotiations ruins everything.
sarcastic,0.57,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
wholesome,0.53,long commutes,"No matter what, long commutes doesn’t define your worth."
dark,0.68,meetings,meetings is just a reminder that time is winning.
dark,0.96,presentations,presentations is just a reminder that time is winning.
sarcastic,0.68,emails,"emails? Yeah, what could possibly go wrong."
wholesome,0.84,waking up early,One step at a time with waking up early. You’ve got this.
wholesome,0.93,deadlines,"No matter what, deadlines doesn’t define your worth."
corporate,0.3,startups,Aligning stakeholders around startups.
corporate,0.73,deadlines,Optimizing bandwidth to address deadlines.
dark,0.21,burnout,"Eventually, burnout gets us all."
wholesome,0.45,college life,"college life is hard, but you’re doing your best."
sarcastic,0.65,deadlines,Nothing screams success like deadlines.
sarcastic,0.94,exams,"exams? Yeah, what could possibly go wrong."
corporate,0.6,job applications,Optimizing bandwidth to address job applications.
corporate,0.53,monday mornings,Driving synergies to resolve monday mornings.
genz,0.86,college life,college life but make it emotionally exhausting.
dark,0.91,burnout,burnout is just a reminder that time is winning.
dark,0.36,monday mornings,"Eventually, monday mornings gets us all."
wholesome,0.24,burnout,One step at a time with burnout. You’ve got this.
corporate,0.67,exams,Leveraging exams for improved outcomes.
dark,0.3,interviews,interviews is just a reminder that time is winning.
dark,0.49,procrastination,procrastination is just a reminder that time is winning.
corporate,0.27,job applications,Optimizing bandwidth to address job applications.
wholesome,0.69,performance reviews,You’re stronger than performance reviews.
corporate,0.25,waking up early,Leveraging waking up early for improved outcomes.
corporate,0.55,deadlines,Driving synergies to resolve deadlines.
corporate,0.96,deadlines,Aligning stakeholders around deadlines.
wholesome,0.43,meetings,You’re stronger than meetings.
sarcastic,0.76,exams,"Oh sure, because exams always works perfectly."
wholesome,0.43,waking up early,One step at a time with waking up early. You’ve got this.
corporate,0.64,job applications,Aligning stakeholders around job applications.
dark,0.93,job applications,job applications never forgets. Never forgives.
corporate,0.84,monday mornings,Leveraging monday mornings for improved outcomes.
dark,0.79,startups,"Another day, another round of startups."
wholesome,0.26,salary negotiations,One step at a time with salary negotiations. You’ve got this.
genz,0.22,performance reviews,performance reviews but make it emotionally exhausting.
dark,0.27,work-life balance,"Another day, another round of work-life balance."
corporate,0.34,office politics,Aligning stakeholders around office politics.
sarcastic,0.93,meetings,"Oh sure, because meetings always works perfectly."
wholesome,0.22,procrastination,"No matter what, procrastination doesn’t define your worth."
genz,0.8,work-life balance,work-life balance but make it emotionally exhausting.
wholesome,0.46,waking up early,One step at a time with waking up early. You’ve got this.
genz,0.73,job applications,job applications is literally my villain origin story
genz,0.37,meetings,me dealing with meetings: absolutely not.
corporate,0.59,job applications,Driving synergies to resolve job applications.
sarcastic,0.65,deadlines,"deadlines? Yeah, what could possibly go wrong."
dark,0.34,monday mornings,monday mornings is just a reminder that time is winning.
genz,0.78,startups,startups is literally my villain origin story
sarcastic,0.25,performance reviews,"performance reviews? Yeah, what could possibly go wrong."
sarcastic,0.68,interviews,Nothing screams success like interviews.
wholesome,0.53,monday mornings,"No matter what, monday mornings doesn’t define your worth."
genz,0.25,procrastination,procrastination but make it emotionally exhausting.
genz,0.41,meetings,meetings is literally my villain origin story
sarcastic,0.57,side hustles,"Oh sure, because side hustles always works perfectly."
genz,0.54,side hustles,side hustles but make it emotionally exhausting.
corporate,0.72,college life,Driving synergies to resolve college life.
dark,0.37,job applications,"Another day, another round of job applications."
genz,0.76,emails,emails but make it emotionally exhausting.
sarcastic,0.84,deadlines,Nothing screams success like deadlines.
sarcastic,0.68,exams,Nothing screams success like exams.
corporate,0.8,presentations,Leveraging presentations for improved outcomes.
wholesome,0.67,performance reviews,One step at a time with performance reviews. You’ve got this.
sarcastic,0.87,meetings,I love how meetings ruins everything.
wholesome,0.36,startups,One step at a time with startups. You’ve got this.
corporate,0.66,meetings,Aligning stakeholders around meetings.
corporate,0.68,procrastination,Optimizing bandwidth to address procrastination.
dark,0.5,procrastination,procrastination never forgets. Never forgives.
